A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
147;28;147;28;(147, 28);116;78
147;137;147;137;(147, 137);120;77
147;75;147;75;(147, 75);119;78
147;53;147;53;(147, 53);119;82
147;24;147;24;(147, 24);116;79
147;43;147;43;(147, 43);118;79
147;40;147;40;(147, 40);119;79
147;66;147;66;(147, 66);132;79
147;198;198;147;(147, 198);120;79
147;110;147;110;(147, 110);130;78
147;74;147;74;(147, 74);132;82
147;190;190;147;(147, 190);121;79
147;172;172;147;(147, 172);134;79
147;69;147;69;(147, 69);116;81
147;161;161;147;(147, 161);133;79
147;165;165;147;(147, 165);118;79
147;60;147;60;(147, 60);122;82
147;131;147;131;(147, 131);116;79
147;181;181;147;(147, 181);132;79
147;139;147;139;(147, 139);116;79
147;111;147;111;(147, 111);128;79
147;20;147;20;(147, 20);120;78
147;19;147;19;(147, 19);118;76
147;82;147;82;(147, 82);132;79
147;21;147;21;(147, 21);116;79
147;192;192;147;(147, 192);120;79
147;48;147;48;(147, 48);116;82
147;160;160;147;(147, 160);116;79
147;295;295;147;(147, 295);123;79
147;140;147;140;(147, 140);134;76
147;77;147;77;(147, 77);118;79
147;167;167;147;(147, 167);117;78
147;135;147;135;(147, 135);116;79
147;81;147;81;(147, 81);136;79
147;50;147;50;(147, 50);116;79
147;168;168;147;(147, 168);127;82
147;196;196;147;(147, 196);119;52
147;183;183;147;(147, 183);116;79
147;116;147;116;(147, 116);122;82
147;186;186;147;(147, 186);122;79
147;184;184;147;(147, 184);119;79
147;178;178;147;(147, 178);116;79
147;188;188;147;(147, 188);116;79
147;157;157;147;(147, 157);120;79
147;54;147;54;(147, 54);129;82
147;15;147;15;(147, 15);120;82
147;156;156;147;(147, 156);134;76
147;11;147;11;(147, 11);116;79
147;73;147;73;(147, 73);121;79
147;169;169;147;(147, 169);118;79
147;16;147;16;(147, 16);126;75
147;64;147;64;(147, 64);116;76
147;56;147;56;(147, 56);116;79
147;47;147;47;(147, 47);118;79
147;193;193;147;(147, 193);120;79
147;29;147;29;(147, 29);132;79
147;151;151;147;(147, 151);132;78
147;175;175;147;(147, 175);118;78
147;150;150;147;(147, 150);139;82
147;158;158;147;(147, 158);116;79
147;55;147;55;(147, 55);132;79
147;148;148;147;(147, 148);118;77
147;176;176;147;(147, 176);131;79
147;182;182;147;(147, 182);126;63
147;36;147;36;(147, 36);118;74
147;153;153;147;(147, 153);120;77
147;71;147;71;(147, 71);139;79
147;177;177;147;(147, 177);122;77
147;163;163;147;(147, 163);120;82
147;14;147;14;(147, 14);117;78
147;166;166;147;(147, 166);117;79
147;117;147;117;(147, 117);119;82
147;41;147;41;(147, 41);120;79
147;32;147;32;(147, 32);118;79
147;145;147;145;(147, 145);117;79
147;22;147;22;(147, 22);120;82
147;13;147;13;(147, 13);120;79
147;205;205;147;(147, 205);118;52
147;6;147;6;(147, 6);117;73
147;130;147;130;(147, 130);120;79
147;45;147;45;(147, 45);119;78
147;46;147;46;(147, 46);119;82
147;164;164;147;(147, 164);118;77
147;27;147;27;(147, 27);118;79
147;67;147;67;(147, 67);116;82
147;12;147;12;(147, 12);118;82
147;112;147;112;(147, 112);118;78
147;154;154;147;(147, 154);120;79
147;162;162;147;(147, 162);122;79
147;76;147;76;(147, 76);130;75
147;3;147;3;(147, 3);118;79
147;84;147;84;(147, 84);131;81
147;179;179;147;(147, 179);129;78
147;152;152;147;(147, 152);118;72
147;61;147;61;(147, 61);130;77
147;63;147;63;(147, 63);118;73
147;142;147;142;(147, 142);126;78
147;191;191;147;(147, 191);120;76
147;10;147;10;(147, 10);120;82
147;89;147;89;(147, 89);135;76
