A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
171;196;196;171;(171, 196);113;52
171;183;183;171;(171, 183);114;79
171;116;171;116;(171, 116);123;79
171;186;186;171;(171, 186);118;79
171;184;184;171;(171, 184);114;79
171;178;178;171;(171, 178);112;79
171;188;188;171;(171, 188);112;79
171;157;171;157;(171, 157);114;79
171;54;171;54;(171, 54);130;79
171;15;171;15;(171, 15);118;79
171;156;171;156;(171, 156);134;76
171;11;171;11;(171, 11);110;79
171;73;171;73;(171, 73);114;79
171;169;171;169;(171, 169);111;79
171;16;171;16;(171, 16);121;75
171;64;171;64;(171, 64);112;76
171;56;171;56;(171, 56);110;79
171;47;171;47;(171, 47);112;79
171;193;193;171;(171, 193);114;79
171;29;171;29;(171, 29);129;79
171;151;171;151;(171, 151);129;78
171;175;175;171;(171, 175);115;78
171;150;171;150;(171, 150);137;79
171;158;171;158;(171, 158);111;79
171;55;171;55;(171, 55);127;79
171;148;171;148;(171, 148);114;77
171;176;176;171;(171, 176);127;79
171;182;182;171;(171, 182);122;62
171;36;171;36;(171, 36);114;74
171;153;171;153;(171, 153);119;76
171;71;171;71;(171, 71);136;79
171;177;177;171;(171, 177);118;77
171;163;171;163;(171, 163);117;79
171;14;171;14;(171, 14);114;78
171;166;171;166;(171, 166);112;79
171;117;171;117;(171, 117);118;79
171;41;171;41;(171, 41);116;79
171;32;171;32;(171, 32);114;79
171;145;171;145;(171, 145);115;79
171;22;171;22;(171, 22);119;79
171;13;171;13;(171, 13);114;79
171;205;205;171;(171, 205);116;52
171;6;171;6;(171, 6);113;73
171;130;171;130;(171, 130);113;79
171;45;171;45;(171, 45);111;78
171;46;171;46;(171, 46);119;79
171;164;171;164;(171, 164);112;77
171;27;171;27;(171, 27);114;79
171;67;171;67;(171, 67);115;79
171;12;171;12;(171, 12);116;79
171;112;171;112;(171, 112);114;78
171;154;171;154;(171, 154);118;79
171;162;171;162;(171, 162);116;79
171;76;171;76;(171, 76);127;75
171;3;171;3;(171, 3);115;79
171;84;171;84;(171, 84);129;78
171;179;179;171;(171, 179);126;78
171;152;171;152;(171, 152);118;69
171;61;171;61;(171, 61);129;77
171;63;171;63;(171, 63);116;73
171;142;171;142;(171, 142);120;78
171;191;191;171;(171, 191);116;76
171;10;171;10;(171, 10);118;79
171;89;171;89;(171, 89);132;76
171;187;187;171;(171, 187);114;79
171;174;174;171;(171, 174);113;79
171;297;297;171;(171, 297);115;79
171;39;171;39;(171, 39);115;79
171;185;185;171;(171, 185);117;79
171;115;171;115;(171, 115);113;79
171;78;171;78;(171, 78);110;78
171;4;171;4;(171, 4);114;78
171;189;189;171;(171, 189);128;79
171;199;199;171;(171, 199);112;79
171;25;171;25;(171, 25);110;79
171;51;171;51;(171, 51);116;77
171;294;294;171;(171, 294);119;79
171;298;298;171;(171, 298);116;78
171;146;171;146;(171, 146);117;76
171;59;171;59;(171, 59);117;79
171;30;171;30;(171, 30);112;79
171;159;171;159;(171, 159);115;79
171;23;171;23;(171, 23);128;79
171;26;171;26;(171, 26);112;78
171;72;171;72;(171, 72);116;79
171;155;171;155;(171, 155);116;79
171;18;171;18;(171, 18);112;79
171;88;171;88;(171, 88);133;79
171;194;194;171;(171, 194);116;78
171;180;180;171;(171, 180);114;79
171;293;293;171;(171, 293);126;77
171;173;173;171;(171, 173);124;79
52;296;296;52;(52, 296);135;78
52;80;80;52;(52, 80);133;78
52;28;52;28;(52, 28);134;77
52;137;137;52;(52, 137);136;76
52;75;75;52;(52, 75);136;77
52;53;53;52;(52, 53);134;81
52;24;52;24;(52, 24);134;78
52;43;52;43;(52, 43);136;78
52;40;52;40;(52, 40);137;78
52;66;66;52;(52, 66);138;78
52;198;198;52;(52, 198);136;78
52;110;110;52;(52, 110);136;77
52;74;74;52;(52, 74);134;81
52;190;190;52;(52, 190);136;78
52;172;172;52;(52, 172);136;78
52;69;69;52;(52, 69);133;80
52;161;161;52;(52, 161);136;78
52;165;165;52;(52, 165);136;78
52;60;60;52;(52, 60);134;81
52;131;131;52;(52, 131);134;78
52;181;181;52;(52, 181);138;78
52;139;139;52;(52, 139);133;78
52;111;111;52;(52, 111);138;78
52;20;52;20;(52, 20);136;77
52;19;52;19;(52, 19);136;75
52;82;82;52;(52, 82);137;78
52;21;52;21;(52, 21);133;78
52;192;192;52;(52, 192);135;78
52;48;52;48;(52, 48);133;81
52;160;160;52;(52, 160);134;78
52;295;295;52;(52, 295);136;78
52;140;140;52;(52, 140);137;75
52;77;77;52;(52, 77);134;78
52;167;167;52;(52, 167);134;77
52;135;135;52;(52, 135);134;78
52;81;81;52;(52, 81);138;78
52;50;52;50;(52, 50);134;78
52;168;168;52;(52, 168);134;81
52;196;196;52;(52, 196);134;52
52;183;183;52;(52, 183);134;78
52;116;116;52;(52, 116);136;81
52;186;186;52;(52, 186);138;78
52;184;184;52;(52, 184);135;78
52;178;178;52;(52, 178);134;78
52;188;188;52;(52, 188);134;78
52;157;157;52;(52, 157);136;78
52;54;54;52;(52, 54);137;81
52;15;52;15;(52, 15);134;81
52;156;156;52;(52, 156);140;75
52;11;52;11;(52, 11);134;78
52;73;73;52;(52, 73);136;78
52;169;169;52;(52, 169);134;78
52;16;52;16;(52, 16);136;74
52;64;64;52;(52, 64);134;75
52;56;56;52;(52, 56);134;78
52;47;52;47;(52, 47);134;78
52;193;193;52;(52, 193);136;78
52;29;52;29;(52, 29);138;78
52;151;151;52;(52, 151);136;77
52;175;175;52;(52, 175);136;77
52;150;150;52;(52, 150);141;81
52;158;158;52;(52, 158);134;78
52;55;55;52;(52, 55);135;78
52;148;148;52;(52, 148);134;76
52;176;176;52;(52, 176);136;78
52;182;182;52;(52, 182);136;62
52;36;52;36;(52, 36);134;73
52;153;153;52;(52, 153);137;76
52;71;71;52;(52, 71);141;78
52;177;177;52;(52, 177);136;76
52;163;163;52;(52, 163);134;81
52;14;52;14;(52, 14);134;77
52;166;166;52;(52, 166);134;78
52;117;117;52;(52, 117);135;81
52;41;52;41;(52, 41);136;78
52;32;52;32;(52, 32);136;78
52;145;145;52;(52, 145);135;78
52;22;52;22;(52, 22);136;81
52;13;52;13;(52, 13);136;78
52;205;205;52;(52, 205);136;52
52;6;52;6;(52, 6);135;72
52;130;130;52;(52, 130);136;78
52;45;52;45;(52, 45);134;77
52;46;52;46;(52, 46);136;81
52;164;164;52;(52, 164);134;76
52;27;52;27;(52, 27);136;78
52;67;67;52;(52, 67);134;81
52;12;52;12;(52, 12);134;81
52;112;112;52;(52, 112);136;77
52;154;154;52;(52, 154);138;78
52;162;162;52;(52, 162);138;78
52;76;76;52;(52, 76);136;74
52;3;52;3;(52, 3);136;78
52;84;84;52;(52, 84);135;80
52;179;179;52;(52, 179);134;77
52;152;152;52;(52, 152);136;71
52;61;61;52;(52, 61);136;76
52;63;63;52;(52, 63);134;73
52;142;142;52;(52, 142);135;77
52;191;191;52;(52, 191);136;75
52;10;52;10;(52, 10);136;81
52;89;89;52;(52, 89);139;75
52;187;187;52;(52, 187);136;78
52;174;174;52;(52, 174);134;78
52;297;297;52;(52, 297);135;78
52;39;52;39;(52, 39);135;78
52;185;185;52;(52, 185);135;80
52;115;115;52;(52, 115);135;78
52;78;78;52;(52, 78);133;77
52;4;52;4;(52, 4);135;77
52;189;189;52;(52, 189);135;78
52;199;199;52;(52, 199);134;78
52;25;52;25;(52, 25);133;78
52;51;52;51;(52, 51);134;79
52;294;294;52;(52, 294);137;78
52;298;298;52;(52, 298);136;77
52;146;146;52;(52, 146);134;75
52;59;59;52;(52, 59);134;78
52;30;52;30;(52, 30);134;79
52;159;159;52;(52, 159);136;78
52;23;52;23;(52, 23);134;81
52;26;52;26;(52, 26);134;77
52;72;72;52;(52, 72);136;78
52;155;155;52;(52, 155);138;78
52;18;52;18;(52, 18);134;78
52;88;88;52;(52, 88);137;81
52;194;194;52;(52, 194);135;77
52;180;180;52;(52, 180);134;78
52;293;293;52;(52, 293);136;76
52;173;173;52;(52, 173);135;78
296;80;296;80;(296, 80);112;79
296;28;296;28;(296, 28);114;78
296;137;296;137;(296, 137);118;77
296;75;296;75;(296, 75);116;78
296;53;296;53;(296, 53);118;79
296;24;296;24;(296, 24);111;79
296;43;296;43;(296, 43);117;76
296;40;296;40;(296, 40);117;79
296;66;296;66;(296, 66);133;79
296;198;296;198;(296, 198);115;79
296;110;296;110;(296, 110);131;78
296;74;296;74;(296, 74);131;79
296;190;296;190;(296, 190);116;79
296;172;296;172;(296, 172);129;79
296;69;296;69;(296, 69);114;78
296;161;296;161;(296, 161);127;79
296;165;296;165;(296, 165);113;79
296;60;296;60;(296, 60);123;79
296;131;296;131;(296, 131);111;79
296;181;296;181;(296, 181);133;79
296;139;296;139;(296, 139);113;79
296;111;296;111;(296, 111);128;79
296;20;296;20;(296, 20);117;78
296;19;296;19;(296, 19);119;76
296;82;296;82;(296, 82);127;79
296;21;296;21;(296, 21);113;79
296;192;296;192;(296, 192);118;79
296;48;296;48;(296, 48);114;79
296;160;296;160;(296, 160);113;79
296;295;296;295;(296, 295);121;79
296;140;296;140;(296, 140);131;76
296;77;296;77;(296, 77);113;79
296;167;296;167;(296, 167);114;78
296;135;296;135;(296, 135);114;79
296;81;296;81;(296, 81);131;79
296;50;296;50;(296, 50);113;79
296;168;296;168;(296, 168);126;79
296;196;296;196;(296, 196);114;52
296;183;296;183;(296, 183);113;79
296;116;296;116;(296, 116);122;79
296;186;296;186;(296, 186);120;79
296;184;296;184;(296, 184);117;79
296;178;296;178;(296, 178);112;79
296;188;296;188;(296, 188);111;79
296;157;296;157;(296, 157);115;79
296;54;296;54;(296, 54);128;79
296;15;296;15;(296, 15);118;79
296;156;296;156;(296, 156);136;76
296;11;296;11;(296, 11);111;79
296;73;296;73;(296, 73);116;79
296;169;296;169;(296, 169);113;79
296;16;296;16;(296, 16);119;75
296;64;296;64;(296, 64);111;76
296;56;296;56;(296, 56);111;79
296;47;296;47;(296, 47);113;79
296;193;296;193;(296, 193);116;79
296;29;296;29;(296, 29);126;79
296;151;296;151;(296, 151);129;78
296;175;296;175;(296, 175);115;78
296;150;296;150;(296, 150);137;79
296;158;296;158;(296, 158);111;79
296;55;296;55;(296, 55);128;79
296;148;296;148;(296, 148);116;77
296;176;296;176;(296, 176);125;79
296;182;296;182;(296, 182);122;62
296;36;296;36;(296, 36);115;74
296;153;296;153;(296, 153);116;76
296;71;296;71;(296, 71);136;79
296;177;296;177;(296, 177);119;77
296;163;296;163;(296, 163);118;79
296;14;296;14;(296, 14);114;78
296;166;296;166;(296, 166);112;79
296;117;296;117;(296, 117);119;79
296;41;296;41;(296, 41);118;79
296;32;296;32;(296, 32);114;79
296;145;296;145;(296, 145);114;79
296;22;296;22;(296, 22);120;79
296;13;296;13;(296, 13);116;79
296;205;296;205;(296, 205);116;52
296;6;296;6;(296, 6);112;73
296;130;296;130;(296, 130);117;79
296;45;296;45;(296, 45);114;78
296;46;296;46;(296, 46);119;79
296;164;296;164;(296, 164);116;77
296;27;296;27;(296, 27);113;79
296;67;296;67;(296, 67);114;79
296;12;296;12;(296, 12);118;79
296;112;296;112;(296, 112);113;78
296;154;296;154;(296, 154);118;79
296;162;296;162;(296, 162);118;79
296;76;296;76;(296, 76);130;75
296;3;296;3;(296, 3);116;79
296;84;296;84;(296, 84);130;78
296;179;296;179;(296, 179);124;78
296;152;296;152;(296, 152);118;69
296;61;296;61;(296, 61);131;77
296;63;296;63;(296, 63);116;73
296;142;296;142;(296, 142);120;78
296;191;296;191;(296, 191);118;76
296;10;296;10;(296, 10);121;79
296;89;296;89;(296, 89);132;76
296;187;296;187;(296, 187);115;79
296;174;296;174;(296, 174);114;79
296;297;297;296;(296, 297);117;79
296;39;296;39;(296, 39);115;79
296;185;296;185;(296, 185);118;79
296;115;296;115;(296, 115);114;79
296;78;296;78;(296, 78);112;78
296;4;296;4;(296, 4);113;78
296;189;296;189;(296, 189);129;79
296;199;296;199;(296, 199);113;79
296;25;296;25;(296, 25);111;79
296;51;296;51;(296, 51);116;77
296;294;296;294;(296, 294);119;79
296;298;298;296;(296, 298);116;78
296;146;296;146;(296, 146);119;76
296;59;296;59;(296, 59);117;79
296;30;296;30;(296, 30);113;79
296;159;296;159;(296, 159);116;79
296;23;296;23;(296, 23);131;79
296;26;296;26;(296, 26);111;78
296;72;296;72;(296, 72);117;79
296;155;296;155;(296, 155);118;79
296;18;296;18;(296, 18);115;79
296;88;296;88;(296, 88);133;79
296;194;296;194;(296, 194);115;78
296;180;296;180;(296, 180);115;79
296;293;296;293;(296, 293);124;77
296;173;296;173;(296, 173);124;79
80;28;80;28;(80, 28);107;79
80;137;137;80;(80, 137);111;77
80;75;80;75;(80, 75);112;79
80;53;80;53;(80, 53);117;81
80;24;80;24;(80, 24);110;80
80;43;80;43;(80, 43);116;77
80;40;80;40;(80, 40);115;79
80;66;80;66;(80, 66);127;80
80;198;198;80;(80, 198);114;80
80;110;110;80;(80, 110);124;78
80;74;80;74;(80, 74);130;79
80;190;190;80;(80, 190);112;81
80;172;172;80;(80, 172);129;80
80;69;80;69;(80, 69);103;79
80;161;161;80;(80, 161);124;80
80;165;165;80;(80, 165);106;81
80;60;80;60;(80, 60);118;81
80;131;131;80;(80, 131);98;79
80;181;181;80;(80, 181);131;80
80;139;139;80;(80, 139);102;81
80;111;111;80;(80, 111);124;81
80;20;80;20;(80, 20);115;80
80;19;80;19;(80, 19);112;76
80;82;82;80;(80, 82);126;80
80;21;80;21;(80, 21);106;80
80;192;192;80;(80, 192);116;80
80;48;80;48;(80, 48);108;80
80;160;160;80;(80, 160);109;79
80;295;295;80;(80, 295);118;79
80;140;140;80;(80, 140);130;78
80;77;80;77;(80, 77);111;80
80;167;167;80;(80, 167);112;78
80;135;135;80;(80, 135);110;79
80;81;81;80;(80, 81);121;79
80;50;80;50;(80, 50);107;79
80;168;168;80;(80, 168);123;81
80;196;196;80;(80, 196);92;54
80;183;183;80;(80, 183);108;79
80;116;116;80;(80, 116);118;79
80;186;186;80;(80, 186);115;81
80;184;184;80;(80, 184);105;80
80;178;178;80;(80, 178);107;79
80;188;188;80;(80, 188);101;79
80;157;157;80;(80, 157);111;81
80;54;80;54;(80, 54);122;81
80;15;80;15;(80, 15);112;80
80;156;156;80;(80, 156);134;76
80;11;80;11;(80, 11);103;81
80;73;80;73;(80, 73);103;79
80;169;169;80;(80, 169);100;80
80;16;80;16;(80, 16);113;76
80;64;80;64;(80, 64);108;78
80;56;80;56;(80, 56);104;79
80;47;80;47;(80, 47);108;81
80;193;193;80;(80, 193);115;79
80;29;80;29;(80, 29);127;79
80;151;151;80;(80, 151);129;79
80;175;175;80;(80, 175);110;79
80;150;150;80;(80, 150);135;80
80;158;158;80;(80, 158);105;81
80;55;80;55;(80, 55);123;79
80;148;148;80;(80, 148);112;77
80;176;176;80;(80, 176);124;79
80;182;182;80;(80, 182);121;64
80;36;80;36;(80, 36);109;75
80;153;153;80;(80, 153);114;76
80;71;80;71;(80, 71);136;79
80;177;177;80;(80, 177);117;77
80;163;163;80;(80, 163);116;80
80;14;80;14;(80, 14);102;80
80;166;166;80;(80, 166);100;81
80;117;117;80;(80, 117);106;80
80;41;80;41;(80, 41);117;80
80;32;80;32;(80, 32);108;81
80;145;145;80;(80, 145);111;80
80;22;80;22;(80, 22);118;81
80;13;80;13;(80, 13);115;81
80;205;205;80;(80, 205);113;52
80;6;80;6;(80, 6);109;73
80;130;130;80;(80, 130);105;79
80;45;80;45;(80, 45);107;80
80;46;80;46;(80, 46);118;81
80;164;164;80;(80, 164);106;78
80;27;80;27;(80, 27);109;80
80;67;80;67;(80, 67);111;80
80;12;80;12;(80, 12);107;79
80;112;112;80;(80, 112);110;78
80;154;154;80;(80, 154);115;81
80;162;162;80;(80, 162);117;80
80;76;80;76;(80, 76);123;75
80;3;80;3;(80, 3);113;81
80;84;84;80;(80, 84);128;79
80;179;179;80;(80, 179);109;78
80;152;152;80;(80, 152);103;69
80;61;80;61;(80, 61);126;78
80;63;80;63;(80, 63);102;73
80;142;142;80;(80, 142);112;80
80;191;191;80;(80, 191);114;76
80;10;80;10;(80, 10);116;79
80;89;89;80;(80, 89);132;76
80;187;187;80;(80, 187);109;79
80;174;174;80;(80, 174);111;79
80;297;297;80;(80, 297);114;79
80;39;80;39;(80, 39);109;79
80;185;185;80;(80, 185);115;80
80;115;115;80;(80, 115);112;79
80;78;80;78;(80, 78);103;78
80;4;80;4;(80, 4);111;78
80;189;189;80;(80, 189);125;81
80;199;199;80;(80, 199);107;81
80;25;80;25;(80, 25);100;79
80;51;80;51;(80, 51);109;78
80;294;294;80;(80, 294);118;81
80;298;298;80;(80, 298);115;79
80;146;146;80;(80, 146);116;76
80;59;80;59;(80, 59);105;79
80;30;80;30;(80, 30);110;81
80;159;159;80;(80, 159);112;79
80;23;80;23;(80, 23);128;80
80;26;80;26;(80, 26);108;78
80;72;80;72;(80, 72);115;80
80;155;155;80;(80, 155);117;80
80;18;80;18;(80, 18);108;79
80;88;88;80;(80, 88);134;79
80;194;194;80;(80, 194);109;78
80;180;180;80;(80, 180);112;79
80;293;293;80;(80, 293);117;79
80;173;173;80;(80, 173);121;80
28;137;137;28;(28, 137);118;77
28;75;75;28;(28, 75);116;78
28;53;53;28;(28, 53);116;79
28;24;28;24;(28, 24);112;79
28;43;43;28;(28, 43);115;77
28;40;40;28;(28, 40);117;78
28;66;66;28;(28, 66);128;78
28;198;198;28;(28, 198);116;79
28;110;110;28;(28, 110);126;77
28;74;74;28;(28, 74);130;78
28;190;190;28;(28, 190);117;79
28;172;172;28;(28, 172);132;79
28;69;69;28;(28, 69);107;79
28;161;161;28;(28, 161);130;79
28;165;165;28;(28, 165);111;79
28;60;60;28;(28, 60);118;79
28;131;131;28;(28, 131);107;78
28;181;181;28;(28, 181);131;79
28;139;139;28;(28, 139);114;79
28;111;111;28;(28, 111);126;79
28;20;28;20;(28, 20);118;78
28;19;28;19;(28, 19);113;76
28;82;82;28;(28, 82);130;79
28;21;28;21;(28, 21);112;78
28;192;192;28;(28, 192);119;79
28;48;48;28;(28, 48);111;79
28;160;160;28;(28, 160);113;78
28;295;295;28;(28, 295);122;78
28;140;140;28;(28, 140);133;77
28;77;77;28;(28, 77);114;79
28;167;167;28;(28, 167);115;77
28;135;135;28;(28, 135);112;78
28;81;81;28;(28, 81);132;78
28;50;50;28;(28, 50);111;78
28;168;168;28;(28, 168);124;79
28;196;196;28;(28, 196);109;53
28;183;183;28;(28, 183);112;78
28;116;116;28;(28, 116);120;78
28;186;186;28;(28, 186);115;79
28;184;184;28;(28, 184);114;79
28;178;178;28;(28, 178);111;78
28;188;188;28;(28, 188);111;78
28;157;157;28;(28, 157);115;79
28;54;54;28;(28, 54);128;79
28;15;28;15;(28, 15);115;78
28;156;156;28;(28, 156);134;76
28;11;28;11;(28, 11);109;79
28;73;73;28;(28, 73);113;78
28;169;169;28;(28, 169);110;79
28;16;28;16;(28, 16);118;75
28;64;64;28;(28, 64);112;77
28;56;56;28;(28, 56);110;78
28;47;47;28;(28, 47);112;79
28;193;193;28;(28, 193);117;78
28;29;29;28;(28, 29);129;78
28;151;151;28;(28, 151);131;77
28;175;175;28;(28, 175);114;78
28;150;150;28;(28, 150);137;79
28;158;158;28;(28, 158);108;79
28;55;55;28;(28, 55);127;78
28;148;148;28;(28, 148);116;77
28;176;176;28;(28, 176);128;78
28;182;182;28;(28, 182);121;62
28;36;36;28;(28, 36);115;74
28;153;153;28;(28, 153);117;76
28;71;71;28;(28, 71);139;78
28;177;177;28;(28, 177);120;76
28;163;163;28;(28, 163);116;79
28;14;28;14;(28, 14);112;78
28;166;166;28;(28, 166);112;79
28;117;117;28;(28, 117);114;78
28;41;41;28;(28, 41);119;79
28;32;32;28;(28, 32);115;79
28;145;145;28;(28, 145);115;79
28;22;28;22;(28, 22);118;79
28;13;28;13;(28, 13);117;79
28;205;205;28;(28, 205);117;52
28;6;28;6;(28, 6);112;72
28;130;130;28;(28, 130);114;78
28;45;45;28;(28, 45);112;78
28;46;46;28;(28, 46);117;79
28;164;164;28;(28, 164);113;78
28;27;28;27;(28, 27);113;78
28;67;67;28;(28, 67);111;79
28;12;28;12;(28, 12);112;78
28;112;112;28;(28, 112);114;77
28;154;154;28;(28, 154);119;79
28;162;162;28;(28, 162);119;79
28;76;76;28;(28, 76);125;75
28;3;28;3;(28, 3);116;79
28;84;84;28;(28, 84);127;78
28;179;179;28;(28, 179);121;77
28;152;152;28;(28, 152);111;69
28;61;61;28;(28, 61);126;78
28;63;63;28;(28, 63);112;73
28;142;142;28;(28, 142);120;78
28;191;191;28;(28, 191);118;76
28;10;28;10;(28, 10);116;78
28;89;89;28;(28, 89);134;75
28;187;187;28;(28, 187);116;78
28;174;174;28;(28, 174);113;78
28;297;297;28;(28, 297);117;78
28;39;39;28;(28, 39);116;78
28;185;185;28;(28, 185);117;79
28;115;115;28;(28, 115);115;78
28;78;78;28;(28, 78);110;77
28;4;28;4;(28, 4);114;77
28;189;189;28;(28, 189);130;79
28;199;199;28;(28, 199);112;79
28;25;28;25;(28, 25);107;78
28;51;51;28;(28, 51);109;76
28;294;294;28;(28, 294);120;79
28;298;298;28;(28, 298);117;79
28;146;146;28;(28, 146);119;76
28;59;59;28;(28, 59);115;78
28;30;30;28;(28, 30);111;79
28;159;159;28;(28, 159);114;78
28;23;28;23;(28, 23);128;79
28;26;28;26;(28, 26);112;77
28;72;72;28;(28, 72);118;79
28;155;155;28;(28, 155);119;79
28;18;28;18;(28, 18);113;78
28;88;88;28;(28, 88);133;78
28;194;194;28;(28, 194);116;77
28;180;180;28;(28, 180);115;78
28;293;293;28;(28, 293);123;78
28;173;173;28;(28, 173);126;79
137;75;137;75;(137, 75);117;76
137;53;137;53;(137, 53);121;77
137;24;137;24;(137, 24);116;77
137;43;137;43;(137, 43);121;76
137;40;137;40;(137, 40);117;77
137;66;137;66;(137, 66);131;77
137;198;198;137;(137, 198);120;77
137;110;137;110;(137, 110);131;77
137;74;137;74;(137, 74);134;77
137;190;190;137;(137, 190);118;77
137;172;172;137;(137, 172);133;77
137;69;137;69;(137, 69);116;77
137;161;161;137;(137, 161);130;77
137;165;165;137;(137, 165);114;77
137;60;137;60;(137, 60);123;77
137;131;137;131;(137, 131);111;77
137;181;181;137;(137, 181);134;77
137;139;139;137;(137, 139);112;77
137;111;137;111;(137, 111);128;77
137;20;137;20;(137, 20);120;76
137;19;137;19;(137, 19);115;76
137;82;137;82;(137, 82);129;77
137;21;137;21;(137, 21);114;77
137;192;192;137;(137, 192);119;77
137;48;137;48;(137, 48);118;77
137;160;160;137;(137, 160);115;77
137;295;295;137;(137, 295);122;77
137;140;140;137;(137, 140);133;76
137;77;137;77;(137, 77);117;77
137;167;167;137;(137, 167);116;76
137;135;137;135;(137, 135);115;77
137;81;137;81;(137, 81);131;77
137;50;137;50;(137, 50);115;77
137;168;168;137;(137, 168);128;77
137;196;196;137;(137, 196);113;52
137;183;183;137;(137, 183);114;77
137;116;137;116;(137, 116);122;77
137;186;186;137;(137, 186);122;77
137;184;184;137;(137, 184);116;77
137;178;178;137;(137, 178);114;77
137;188;188;137;(137, 188);113;77
137;157;157;137;(137, 157);118;77
137;54;137;54;(137, 54);129;77
137;15;137;15;(137, 15);120;77
137;156;156;137;(137, 156);134;76
137;11;137;11;(137, 11);115;77
137;73;137;73;(137, 73);117;77
137;169;169;137;(137, 169);113;77
137;16;137;16;(137, 16);124;73
137;64;137;64;(137, 64);114;76
137;56;137;56;(137, 56);112;77
137;47;137;47;(137, 47);115;77
137;193;193;137;(137, 193);120;77
137;29;137;29;(137, 29);131;77
137;151;151;137;(137, 151);132;77
137;175;175;137;(137, 175);116;76
137;150;150;137;(137, 150);137;77
137;158;158;137;(137, 158);113;77
137;55;137;55;(137, 55);130;77
137;148;148;137;(137, 148);116;77
137;176;176;137;(137, 176);129;77
137;182;182;137;(137, 182);126;60
137;36;137;36;(137, 36);116;73
137;153;153;137;(137, 153);119;76
137;71;137;71;(137, 71);136;77
137;177;177;137;(137, 177);121;75
137;163;163;137;(137, 163);122;77
137;14;137;14;(137, 14);115;77
137;166;166;137;(137, 166);111;77
137;117;137;117;(137, 117);118;77
137;41;137;41;(137, 41);120;77
137;32;137;32;(137, 32);116;77
137;145;145;137;(137, 145);114;77
137;22;137;22;(137, 22);122;77
137;13;137;13;(137, 13);120;77
137;205;205;137;(137, 205);117;52
137;6;137;6;(137, 6);117;71
137;130;137;130;(137, 130);115;77
137;45;137;45;(137, 45);117;76
137;46;137;46;(137, 46);122;77
137;164;164;137;(137, 164);115;76
137;27;137;27;(137, 27);116;77
137;67;137;67;(137, 67);118;77
137;12;137;12;(137, 12);118;77
137;112;137;112;(137, 112);116;76
137;154;154;137;(137, 154);116;77
137;162;162;137;(137, 162);120;77
137;76;137;76;(137, 76);130;75
137;3;137;3;(137, 3);115;77
137;84;137;84;(137, 84);133;76
137;179;179;137;(137, 179);124;76
137;152;152;137;(137, 152);114;69
137;61;137;61;(137, 61);131;76
137;63;137;63;(137, 63);115;73
137;142;142;137;(137, 142);123;76
137;191;191;137;(137, 191);118;76
137;10;137;10;(137, 10);120;77
137;89;137;89;(137, 89);133;74
137;187;187;137;(137, 187);119;77
137;174;174;137;(137, 174);117;77
137;297;297;137;(137, 297);119;77
137;39;137;39;(137, 39);116;77
137;185;185;137;(137, 185);119;77
137;115;137;115;(137, 115);119;77
137;78;137;78;(137, 78);114;76
137;4;137;4;(137, 4);117;77
137;189;189;137;(137, 189);129;77
137;199;199;137;(137, 199);115;77
137;25;137;25;(137, 25);113;77
137;51;137;51;(137, 51);119;75
137;294;294;137;(137, 294);121;77
137;298;298;137;(137, 298);117;77
137;146;146;137;(137, 146);119;76
137;59;137;59;(137, 59);118;77
137;30;137;30;(137, 30);116;77
137;159;159;137;(137, 159);115;77
137;23;137;23;(137, 23);134;77
137;26;137;26;(137, 26);114;76
137;72;137;72;(137, 72);119;77
137;155;155;137;(137, 155);120;77
137;18;137;18;(137, 18);116;77
137;88;137;88;(137, 88);136;77
137;194;194;137;(137, 194);115;76
137;180;180;137;(137, 180);117;77
137;293;293;137;(137, 293);127;76
137;173;173;137;(137, 173);127;77
75;53;75;53;(75, 53);120;80
75;24;75;24;(75, 24);114;79
75;43;75;43;(75, 43);117;77
75;40;75;40;(75, 40);117;78
75;66;75;66;(75, 66);133;78
75;198;198;75;(75, 198);116;80
75;110;110;75;(75, 110);131;77
75;74;75;74;(75, 74);133;78
75;190;190;75;(75, 190);115;80
75;172;172;75;(75, 172);132;79
75;69;75;69;(75, 69);115;78
75;161;161;75;(75, 161);128;79
75;165;165;75;(75, 165);115;80
75;60;75;60;(75, 60);123;80
75;131;131;75;(75, 131);113;78
75;181;181;75;(75, 181);131;79
75;139;139;75;(75, 139);113;80
75;111;111;75;(75, 111);126;80
75;20;75;20;(75, 20);116;79
75;19;75;19;(75, 19);119;76
75;82;82;75;(75, 82);131;79
75;21;75;21;(75, 21);112;78
75;192;192;75;(75, 192);117;80
75;48;75;48;(75, 48);117;79
75;160;160;75;(75, 160);113;78
75;295;295;75;(75, 295);119;78
75;140;140;75;(75, 140);132;76
75;77;77;75;(75, 77);116;79
75;167;167;75;(75, 167);114;77
75;135;135;75;(75, 135);115;78
75;81;81;75;(75, 81);131;80
75;50;75;50;(75, 50);114;78
75;168;168;75;(75, 168);128;80
75;196;196;75;(75, 196);113;53
75;183;183;75;(75, 183);113;78
75;116;116;75;(75, 116);119;78
75;186;186;75;(75, 186);121;80
75;184;184;75;(75, 184);117;79
75;178;178;75;(75, 178);113;78
75;188;188;75;(75, 188);113;78
75;157;157;75;(75, 157);114;81
75;54;75;54;(75, 54);128;80
75;15;75;15;(75, 15);119;78
75;156;156;75;(75, 156);134;77
